id_det_tra,id_trayectoria,orden,fecha,longitud,latitud,distancia,duracion,velocidad,coordenadas,tipo_coordenada
14141,301,2,"2021-02-28 23:14:00-05",-79.86790666666667,-2.1230466666666667,1,1,1,0101000020E6100000145467C88BF753C09FB809E4FFFB00C0,V
30062,379,226,"2021-03-12 11:43:13-05",-79.886251,-2.151928,38.572,2.005,19.238,0101000020E610000007431D56B8F853C004C6FA06263701C0,V
20083,341,585,"2021-03-12 05:09:58-05",-79.893063,-2.18624,0.531,1.744,0.304,0101000020E61000002191B6F127F953C005A8A9656B7D01C0,C
19542,341,303,"2021-03-12 05:09:58-05",-79.906767,-2.198962,20.755,1.408,14.74,0101000020E6100000E485747808FA53C08C2C9963799701C0,C
26689,374,64,"2021-03-12 11:17:01-05",-79.890882,-2.241907,11.912,1.971,6.043,0101000020E610000016A6EF3504F953C04563EDEF6CEF01C0,V
16512,327,95,"2021-03-12 02:34:03-05",-79.872612,-2.106584,40.539,2.003,20.239,0101000020E6100000388600E0D8F753C0043752B648DA00C0,V
20182,345,11,"2021-03-12 05:37:41-05",-79.899985,-2.235974,4060.685,1312.01,3.095,0101000020E6100000FF78AF5A99F953C083A6255646E301C0,C
17860,328,601,"2021-03-12 02:59:25-05",-79.886522,-2.148614,19.08,1.994,9.568,0101000020E6100000CF4BC5C6BCF853C06BD26D895C3001C0,V
23381,360,458,"2021-03-12 08:44:39-05",-79.898641,-2.205555,4.568,0.885,5.161,0101000020E610000010768A5583F953C0F73B1405FAA401C0,C
12080,122,482,"2021-02-17 02:54:51-05",-79.883765,-2.127802,39.586,1.998,19.813,0101000020E61000005D16139B8FF853C03AE8120EBD0501C0,V
20797,352,138,"2021-03-12 07:50:19-05",-79.91615,-2.172415,27.942,1.985,14.077,0101000020E6100000BF0E9C33A2FA53C0FEB7921D1B6101C0,V
38955,394,1457,"2021-03-22 01:53:42-05",-79.872522,-2.106862,17.753,2.008,8.841,0101000020E610000098C28366D7F753C0317BD976DADA00C0,M
36800,394,379,"2021-03-22 01:53:42-05",-80.172332,-2.272579,43.716,2.003,21.825,0101000020E61000007903CC7C070B54C06F9C14E63D2E02C0,M
12407,249,13,"2021-02-24 05:51:41-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
35266,392,454,"2021-03-20 03:49:00-05",-79.948062,-2.094119,35.964,2.004,17.946,0101000020E610000024253D0CADFC53C032755776C1C000C0,V
16527,327,103,"2021-03-12 02:34:03-05",-79.872022,-2.109067,39.792,0.346,115.005,0101000020E61000001FD95C35CFF753C02995F0845EDF00C0,V
12589,252,132,"2021-02-24 06:06:58-05",-79.94875,-2.8498484,1,1,1,0101000020E61000001F85EB51B8FC53C03411363CBDB200C0,V
14565,319,108,"2021-03-09 03:01:24-05",-79.840729,-2.072255,23.15,1.993,11.615,0101000020E61000001FF30181CEF553C0A4C7EF6DFA9300C0,V
26508,373,20,"2021-03-12 11:03:27-05",-79.876318,-2.181402,1.328,1.68,0.79,0101000020E61000005AB9179815F853C0936E4BE4827301C0,C
29263,375,1283,"2021-03-12 11:17:01-05",-79.901859,-2.1659,19.006,2.009,9.46,0101000020E61000009CA6CF0EB8F953C04F401361C35301C0,V
15415,319,536,"2021-03-09 03:01:24-05",-79.884179,-2.113872,18.73,1.546,12.115,0101000020E6100000D733846396F853C0DF701FB935E900C0,V
17837,328,590,"2021-03-12 02:59:25-05",-79.886352,-2.147674,23.116,1.967,11.752,0101000020E6100000A12FBDFDB9F853C08BC1C3B46F2E01C0,V
27581,374,514,"2021-03-12 11:17:01-05",-79.947537,-2.181077,20.474,2.039,10.041,0101000020E6100000FFAF3A72A4FC53C05C76887FD87201C0,V
19003,341,29,"2021-03-12 05:09:58-05",-79.936665,-2.222768,31.449,0.035,898.57,0101000020E6100000B493C151F2FB53C03BC3D4963AC801C0,C
29230,374,1339,"2021-03-12 11:17:01-05",-79.903609,-2.17269,9.907,1.998,4.958,0101000020E6100000C3D7D7BAD4F953C019C5724BAB6101C0,V
21803,355,33,"2021-03-12 08:11:42-05",-79.897449,-2.182792,1.899,1.994,0.952,0101000020E6100000FC34EECD6FF953C072C3EFA65B7601C0,C
15910,318,847,"2021-03-09 03:01:24-05",-79.8919,-2.164152,8.564,2.055,4.167,0101000020E61000005BD3BCE314F953C07D957CEC2E5001C0,V
20116,342,2,"2021-03-12 05:19:18-05",-79.8977165,-2.1845885,1,1,1,0101000020E61000001825E82F74F953C0D7BD1589097A01C0,O
25359,367,279,"2021-03-12 09:20:16-05",-79.901856,-2.174737,28.383,0.938,30.26,0101000020E6100000E36C3A02B8F953C08F352383DC6501C0,C
23833,361,628,"2021-03-12 08:44:39-05",-79.89508,-2.194017,22.333,1.935,11.542,0101000020E61000006FD39FFD48F953C0BBF1EEC8588D01C0,C
